tag:STRING|delta:INT
Alona_Bondarenko|10
Everything_Is_Wrong|10
Crüe_Fest|13
Cobrastyle|12
Rhythms_del_Mundo|9
Hold_You_Down|9
Heisei_Fūzoku|8
The_Man_with_the_Horn|9
I_Luv_Your_Girl|12
Difficult_to_Cure|9
The_Shock_of_the_Lightning|10
Break_Every_Rule|12
Wu-Massacre|10
Commit_This_to_Memory|9
Six_Days_on_the_Road|13
Everything_I_Love|10
Arab_Money|16
5to_Piso|11
Joyful_Rebellion|13
Light_at_the_End_of_the_World|15
Machine_Gun_Etiquette|10
Mainliner:_Wreckage_from_the_Past|8
If_This_World_Were_Mine|10
Dirt_Road_Anthem|12
Love_Is_Blindness|12
I_Wanna_Go|9
Lose_My_Mind|12
Each_Tear|13
Disarm|13
Baby_Can_I_Hold_You|16
AOI:_Bionix|14
Boonoonoonoos|12
Quest_for_Fire:_Firestarter,_Vol._1|11
From_the_Ashes|10
Beastie_Boys_Anthology:_The_Sounds_of_Science|8
This_Is_a_Call|16
Ice_in_the_Sun|8
Cities_in_Dust|16
Andriy_Medvedev|13
Freak_Like_Me|12
Lies_for_the_Liars|9
The_Shape_of_Punk_to_Come|9
Start_Something|14
The_Good_Stuff|14
Red_Octopus|10
Blink_the_Brightest|11
A_Kiss_in_the_Dreamhouse|15
Star_People|10
Heartbreak_Station|13
The_Kink_Kronikles|12
Beautifully_Human:_Words_and_Sounds_Vol._2|12
Juke_Box_Hero|14
The_Real_Testament|15
Psalm_69:_The_Way_to_Succeed_and_the_Way_to_Suck_Eggs|15
Last_Train_to_London|9
The_Burning_Red|10
Outta_Here|8
Faster_Kill_Pussycat|15
Love_Metal|9
Pull_Up_to_the_Bumper|14
Little_L|9
Chicago_16|10
My_Name_Is_Not_Susan|15
Still_Not_a_Player|9
El_Matador|11
Lay_All_Your_Love_on_Me|8
Having_a_Rave_Up|15
The_Hour_of_Reprisal|9
Greatest_Hits:_My_Prerogative|14
Faster/P.C.P.|16
Ruby_Trax|9
In_the_Flesh?|12
Tres_Deseos|12
Looks_That_Kill|12
Sun_Is_Up|11
Hang_On_to_Yourself|13
So_Amazing:_An_All-Star_Tribute_to_Luther_Vandross|8
The_Meaning_of_Love|14
All_the_Way..._A_Decade_of_Song_&_Video|14
Like_a_Boy|10
Mikhail_Youzhny|14
ELO_2|8
Deep_Water_Slang_V2.0|13
Rap_Song|9
Cómplices|14
Sexy_Can_I|16
Hair_of_the_Dog|12
Money_to_Blow|8
Kalimba_de_Luna_–_16_Happy_Songs|13
Screaming_Bloody_Murder|10
Pig_Lib|13
I_Begin_to_Wonder|9
Game_Time|16
Pack_Up|8
Bobby_Digital_in_Stereo|8
Sunshine_on_Leith|11
Kiss_Me_Thru_the_Phone|8
Finding_Beauty_in_Negative_Spaces|11
So_Much_to_Say|8
Maria_II_of_Portugal|8
A_Boy_Named_Goo|12
Celia_Cruz|11
Glass_Spider|9
Have_You_Ever_Loved_a_Woman|16
Fires_at_Midnight|8
What_About_Your_Friends|10
Brick_by_Brick|13
I_See_a_Star|15
The_Adventures_of_Grandmaster_Flash_on_the_Wheels_of_Steel|9
American_Made_Music_to_Strip_By|10
H_to_He,_Who_Am_the_Only_One|12
Good_Morning_Revival|16
Do_You_Want_the_Truth_or_Something_Beautiful?|13
Songs_from_an_American_Movie,_Vol._1:_Learning_How_to_Smile|10
Loud_Rocks|13
Money_Money|9
Cannot_Buy_My_Soul|16
The_Sufferer_&_the_Witness|9
Patrick_Pearse|16
Live_à_Paris|10
Hawkwind_Anthology|9
Left_My_Heart_in_Tokyo|16
So_Pure|16
The_Happiest_Days_of_Our_Lives|8
Prison_Bound|9
Ross_Dependency|10
Disneymania_3|14
Ciara:_The_Evolution|10
Sea_Lion_Woman|9
Gone_Again|13
You_Better_You_Bet|15
Ooooooohhh..._On_the_TLC_Tip|11
Luv_Me,_Luv_Me|10
Third/Sister_Lovers|9
Crash_into_Me|10
Ostalo_je_ćutanje|15
Non-Stop_Erotic_Cabaret|9
AT&T_Team_USA_Soundtrack|10
See_You|12
Miss_Thang|14
6_Underground|8
Crunk_Rock|9
Cypress_Hill_IV|10
Lady_in_Satin|13
The_Way_We_Walk,_Volume_Two:_The_Longs|16
Bang_and_Blame|12
En_händig_man|12
Electro-Shock_Blues|14
Que_Me_Quedes_Tú|9
Blame_It_on_Your_Heart|14
Elect_the_Dead|10
A_Better_Man|9
Se_me_olvidó_otra_vez|15
Cold_Roses|14
If_I_Needed_You|8
Laid|8
Make_Me_Wanna_Die|8
How_Sweet_It_Is_to_Be_Loved_by_You|10
Same_Girl|9
Stone_Cold_Crazy|15
War_at_the_Warfield|13
Launched|11
When_Life_Gives_You_Lemons,_You_Paint_That_Shit_Gold|9
Forever_My_Lady|16
Red_Medicine|14
Good_to_Be_Bad|11
Hard_Times_and_Nursery_Rhymes|14
Gaya_confederacy|15
Give_It_to_You|8
Suffer_Well|10
Get_It_Shawty|10
Een_beetje|16
They_Only_Come_Out_at_Night|12
An_American_Prayer|9
From_the_Screen_to_Your_Stereo|13
The_Bootleg_Series_Vol._6:_Bob_Dylan_Live_1964,_Concert_at_Philharmonic_Hall|14
I_Need_a_Dollar|9
T.A.T.u._Remixes|11
Trampled_Under_Foot|15
Kissing_to_Be_Clever|8
Soul_Meets_Body|13
In_a_Major_Way|15
Heartbeat_City|11
Candy-O|15
Rock_until_You_Drop|8
A_Million_to_One|15
But_You_Know_I_Love_You|15
Made_You_Look|8
My_Babe|15
The_National_Anthem|15
Valley_of_the_Damned|8
Speak_No_Evil|9
Alfredo_Di_Stéfano|16
Boogie_Oogie_Oogie|11
Good_for_Your_Soul|9
Music_Is_My_Savior|11
Music_Has_the_Right_to_Children|15
All_She_Wants_Is|9
The_Revölution_by_Night|10
Alphabet_St.|15
A_Northern_Soul|9
Gett_Off|16
Another_Body_Murdered|8
Dream,_After_Dream|8
Live_in_Las_Vegas:_A_New_Day...|11
ISouljaBoyTellem|10
Man_of_Colours|16
Riddle_Box|15
Blue_for_You|10
Frank_Herbert|12
Venus_and_Mars/Rock_Show|10
Music_of_the_Katamari_Damacy_series|9
I_Am_a_Bird_Now|12
Patsy_Cline_Showcase|13
From_Chaos|11
Bony_Moronie|16
Join_Hands|16
Nada_Sōsō|16
Gambling_with_the_Devil|10
Carnival_of_Carnage|8
The_Modern_World|9
Jefferson_Airplane_Takes_Off|14
Beautiful_Freak|9
Perverted_by_Language|15
The_Giancana_Story|9
This_Is_Home|8
Dreamers|8
Ella_Abraça_Jobim|15
Beat_of_My_Heart|9
New_Found_Power|8
Bounce_with_Me|11
In_My_Time|15
Just_a_Rolling_Stone|8
Then_You_Can_Tell_Me_Goodbye|11
Better_Than_Raw|11
The_Sidewinder|8
The_Eyes_of_Alice_Cooper|14
Jesus_Christ_Pose|11
Nothing_to_Fear|13
The_Best_of_The_Byrds:_Greatest_Hits,_Volume_II|11
Time_for_Annihilation|10
What_Will_the_Neighbours_Say?|15
Last_Cup_of_Sorrow|13
Wherever_I_May_Roam|10
Da_Da_Da|9
La_Llave_de_Mi_Corazón|13
Libra_Scale|10
Worlds_Collide|16
Elegantly_Wasted|14
Club_Disco|10
Earache_My_Eye|9
A_Year_and_a_Half_in_the_Life_of_Metallica|13
Eminem_Presents:_The_Re-Up|9
Made_to_Be_Broken|15
2000_Light_Years_from_Home|10
Rock_and_a_Hard_Place|16
Fixed_at_Zero|9
This_Is_a_Long_Drive_for_Someone_with_Nothing_to_Think_About|9
Third_Stage|12
Drumming_Song|13
Lick_It_Up|8
Cupid_&_Psyche_85|13
Horse_Rotorvator|14
Every_Girl|16
On_a_Clear_Night|15
Black_Mountain_Side|8
Hunting_High_and_Low|16
Disney_Channel_Holiday|15
Savage_Amusement|16
Live_at_the_Witch_Trials|8
Feel_It_Boy|12
Dancemania_Speed_Best_2001|9
Distant_Sun|15
The_Singles_81→85|12
At_the_Ryman|13
Heart_to_Yours|13
Seventh_Tree|12
Golden_Heart|16
D.O.D.|10
Fly_to_the_Rainbow|8
1000_Hurts|11
Little_Sparrow|8
Iconos|15
Shortie_Like_Mine|13
Death_on_the_Road|10
Sure_Shot|14
Bucketheadland|9
Me_So_Horny|9
