tagA:STRING|dateA:DATE|tagB:STRING|dateB:DATE|maxKnowsLimit:INT
Sonia_Gandhi|2010-09-15|Mick_Jagger|2012-12-13|5
David_Hockney|2011-06-14|Johnny_Cash|2012-12-31|6
David_Hockney|2011-06-15|Johnny_Cash|2012-12-31|3
Mariano_Rivera|2011-10-12|Bing_Crosby|2012-12-11|6
Mariano_Rivera|2011-10-13|Bing_Crosby|2012-12-11|3
Luís_Figo|2010-09-30|Jack_Kerouac|2012-12-26|5
Joe_Strummer|2011-10-22|Bulgaria|2011-02-02|3
Joe_Strummer|2011-10-23|Bulgaria|2011-02-02|4
Jawaharlal_Nehru|2011-04-20|Hilary_Duff|2012-12-19|3
Vinicius_de_Moraes|2012-05-19|Iran|2012-12-16|6
Vinicius_de_Moraes|2012-05-20|Iran|2012-12-16|3
Jan_Hus|2011-06-22|Desiderius_Erasmus|2012-11-23|4
Diosdado_Macapagal|2012-10-07|Desiderius_Erasmus|2012-11-23|4
Diosdado_Macapagal|2012-10-08|Desiderius_Erasmus|2012-11-23|5
Enrique_Iglesias|2012-04-27|Desiderius_Erasmus|2012-11-23|5
Enrique_Iglesias|2012-04-28|Desiderius_Erasmus|2012-11-23|6
Peter_Hain|2011-10-11|Bulgaria|2011-02-02|4
Peter_Hain|2011-10-12|Bulgaria|2011-02-02|5
Yuvan_Shankar_Raja|2010-11-23|Desiderius_Erasmus|2012-11-23|6
Yoko_Ono|2011-09-23|John_the_Baptist|2012-12-01|5
Chulalongkorn|2010-12-30|Dominican_Republic|2012-12-29|3
Chulalongkorn|2010-12-30|Aleister_Crowley|2012-12-31|5
Rubén_Blades|2010-06-03|Christopher_Columbus|2012-10-28|3
Paula_Abdul|2010-05-27|Leonard_Bernstein|2012-12-17|6
Tom_Gehrels|2011-02-02|Imelda_Marcos|2012-08-24|5
Tom_Gehrels|2011-02-03|Imelda_Marcos|2012-08-24|6
Rubén_Blades|2010-06-03|Romania|2012-05-08|6
Shapur_II|2010-10-11|Sophocles|2012-12-30|4
Shapur_II|2010-10-12|Sophocles|2012-12-30|5
Luís_Figo|2010-09-30|Fred_Astaire|2012-12-12|3
Yuvan_Shankar_Raja|2010-11-23|Imelda_Marcos|2012-08-24|3
Siad_Barre|2010-06-16|Dominican_Republic|2012-12-29|6
Yuvan_Shankar_Raja|2010-11-23|Martin_Luther_King,_Jr.|2011-02-02|3
Tom_Gehrels|2011-02-02|Kuwait|2012-12-05|4
Tom_Gehrels|2011-02-03|Kuwait|2012-12-05|5
Shapur_II|2010-10-11|Muhammad|2012-12-16|6
Shapur_II|2010-10-12|Muhammad|2012-12-16|3
Luiz_Inácio_Lula_da_Silva|2010-04-07|Jane_Austen|2012-12-22|5
Carl_Gustaf_Emil_Mannerheim|2011-12-12|Edward_III_of_England|2012-12-07|3
Marc_Gicquel|2010-12-02|Aleister_Crowley|2012-12-31|5
Marc_Gicquel|2012-07-25|Aleister_Crowley|2012-12-31|4
Marc_Gicquel|2012-07-26|Aleister_Crowley|2012-12-31|5
Belisarius|2012-11-13|Arthur_Wellesley,_1st_Duke_of_Wellington|2012-12-18|6
Belisarius|2012-11-14|Arthur_Wellesley,_1st_Duke_of_Wellington|2012-12-18|3
Gil_Kane|2011-04-13|Nelson_Mandela|2012-11-24|3
Gil_Kane|2011-04-14|Nelson_Mandela|2012-11-24|4
Genghis_Khan|2011-03-22|Abraham_Lincoln|2012-12-12|3
Genghis_Khan|2012-01-04|Abraham_Lincoln|2012-12-12|6
Genghis_Khan|2012-01-05|Abraham_Lincoln|2012-12-12|3
Freddie_Mercury|2011-01-04|Mohammad_Reza_Pahlavi|2012-12-15|5
Freddie_Mercury|2011-01-05|Mohammad_Reza_Pahlavi|2012-12-15|6
Carl_Gustaf_Emil_Mannerheim|2011-12-12|Kingdom_of_England|2012-12-21|5
Shapur_II|2010-10-11|Christopher_Columbus|2012-10-28|5
Shapur_II|2010-10-12|Christopher_Columbus|2012-10-28|6
Peter_Hain|2011-10-11|Lucille_Ball|2012-12-30|4
Peter_Hain|2011-10-12|Lucille_Ball|2012-12-30|5
Shapur_II|2010-10-11|Muammar_Gaddafi|2012-04-01|3
Shapur_II|2010-10-12|Muammar_Gaddafi|2012-04-01|4
Haile_Selassie_I|2010-08-29|Catherine_the_Great|2011-10-12|5
Haile_Selassie_I|2010-08-30|Catherine_the_Great|2011-10-12|6
Ho_Chi_Minh|2010-07-23|Iran|2012-12-16|6
Ho_Chi_Minh|2010-10-31|Iran|2012-12-16|6
Imelda_Marcos|2012-05-07|Paul_Keres|2012-12-26|4
Imelda_Marcos|2012-05-08|Paul_Keres|2012-12-26|5
Imelda_Marcos|2012-05-09|Paul_Keres|2012-12-26|6
Diosdado_Macapagal|2012-10-07|Czechoslovakia|2012-12-05|4
Diosdado_Macapagal|2012-10-08|Czechoslovakia|2012-12-05|5
Jan_Hus|2011-06-22|Niccolò_Machiavelli|2012-12-16|3
Haile_Selassie_I|2010-08-29|Jamaica|2012-06-03|3
Haile_Selassie_I|2010-08-30|Jamaica|2012-06-03|4
Bobby_Hull|2012-06-21|Jim_Carrey|2012-11-17|6
Bobby_Hull|2012-06-22|Jim_Carrey|2012-11-17|3
Edgar_Prado|2011-12-19|George_Orwell|2012-09-16|4
Edgar_Prado|2011-12-20|George_Orwell|2012-09-16|5
Garry_Kasparov|2011-10-18|United_States|2012-06-03|5
Mariano_Rivera|2011-10-12|George_Orwell|2012-09-16|4
Mariano_Rivera|2011-10-13|George_Orwell|2012-09-16|5
Dimitri_Tiomkin|2011-10-07|Leonard_Bernstein|2012-12-17|3
Manuel_Noriega|2012-06-02|Thailand|2012-12-14|6
Manuel_Noriega|2012-06-03|Thailand|2012-12-14|3
Marc_Gicquel|2010-12-02|Romania|2012-05-08|4
Marc_Gicquel|2012-07-25|Romania|2012-05-08|3
Marc_Gicquel|2012-07-26|Romania|2012-05-08|4
Sonia_Gandhi|2010-09-14|James_Taylor|2012-12-31|6
Sonia_Gandhi|2010-09-15|James_Taylor|2012-12-31|3
John_Rhys-Davies|2012-04-20|Thomas_Jefferson|2012-12-11|4
John_Rhys-Davies|2012-04-21|Thomas_Jefferson|2012-12-11|5
Humayun|2011-10-08|Mauritius|2012-12-24|3
Humayun|2011-10-09|Mauritius|2012-12-24|4
Diosdado_Macapagal|2012-10-07|Thomas_Jefferson|2012-12-11|6
Diosdado_Macapagal|2012-10-08|Thomas_Jefferson|2012-12-11|3
Peter_Hain|2011-10-11|Friedrich_Nietzsche|2012-11-23|3
Peter_Hain|2011-10-12|Friedrich_Nietzsche|2012-11-23|4
Humayun|2011-10-08|Saint_Lucia|2011-10-16|5
Humayun|2011-10-09|Saint_Lucia|2011-10-16|6
Carl_Gustaf_Emil_Mannerheim|2011-12-12|Leonardo_da_Vinci|2012-05-08|6
Marc_Gicquel|2010-12-02|George_Orwell|2012-09-16|3
Marc_Gicquel|2012-07-25|George_Orwell|2012-09-16|6
Marc_Gicquel|2012-07-26|George_Orwell|2012-09-16|3
Shapur_II|2010-10-11|John_Wayne|2012-12-20|6
Shapur_II|2010-10-12|John_Wayne|2012-12-20|3
Ho_Chi_Minh|2010-07-23|Hilary_Duff|2012-12-19|5
Ho_Chi_Minh|2010-10-31|Hilary_Duff|2012-12-19|5
Kateryna_Bondarenko|2011-09-18|John_Howard|2012-11-21|6
Gil_Kane|2011-04-13|Martin_Luther_King,_Jr.|2011-02-02|3
Gil_Kane|2011-04-14|Martin_Luther_King,_Jr.|2011-02-02|4
Chulalongkorn|2010-12-30|William_Blake|2011-10-12|4
Alexander_Downer|2012-01-30|Ralph_Waldo_Emerson|2012-12-28|4
John_Rhys-Davies|2012-04-20|James_Taylor|2012-12-31|4
John_Rhys-Davies|2012-04-21|James_Taylor|2012-12-31|5
Karol_Kučera|2012-02-11|Lucille_Ball|2012-12-30|6
Joe_Strummer|2011-10-22|Hilary_Duff|2012-12-19|4
Joe_Strummer|2011-10-23|Hilary_Duff|2012-12-19|5
Jan_Hus|2011-06-22|Belize|2012-12-29|4
Mariano_Rivera|2011-10-12|Abraham_Lincoln|2012-12-12|3
Mariano_Rivera|2011-10-13|Abraham_Lincoln|2012-12-12|4
Humayun|2011-10-08|Italy|2011-02-02|5
Humayun|2011-10-09|Italy|2011-02-02|6
Paradorn_Srichaphan|2012-02-20|Italy|2011-02-02|3
Paradorn_Srichaphan|2012-02-21|Italy|2011-02-02|4
Paradorn_Srichaphan|2012-02-22|Italy|2011-02-02|5
Helena_Blavatsky|2012-09-15|Nelson_Mandela|2012-11-24|3
Enrique_Iglesias|2012-04-27|Isle_of_Man|2012-12-20|4
Enrique_Iglesias|2012-04-28|Isle_of_Man|2012-12-20|5
Kateryna_Bondarenko|2011-09-18|Hank_Williams|2012-12-22|5
Luís_Figo|2010-09-30|Jamaica|2012-06-03|3
Yoko_Ono|2011-09-23|Lucille_Ball|2012-12-30|6
Freddie_Mercury|2011-01-04|Turkey|2012-12-29|3
Freddie_Mercury|2011-01-05|Turkey|2012-12-29|4
Mariano_Rivera|2011-10-12|Christopher_Columbus|2012-10-28|6
Mariano_Rivera|2011-10-13|Christopher_Columbus|2012-10-28|3
David_Hockney|2011-06-14|John_the_Baptist|2012-12-01|4
David_Hockney|2011-06-15|John_the_Baptist|2012-12-01|5
Ehud_Olmert|2012-08-04|Michelangelo|2012-12-26|5
Ehud_Olmert|2012-08-05|Michelangelo|2012-12-26|6
Haile_Selassie_I|2010-08-29|Ralph_Waldo_Emerson|2012-12-28|3
Haile_Selassie_I|2010-08-30|Ralph_Waldo_Emerson|2012-12-28|4
Sanath_Jayasuriya|2012-01-03|Leonard_Bernstein|2012-12-17|6
Sanath_Jayasuriya|2012-01-04|Leonard_Bernstein|2012-12-17|3
Diosdado_Macapagal|2012-10-07|Leonard_Bernstein|2012-12-17|4
Diosdado_Macapagal|2012-10-08|Leonard_Bernstein|2012-12-17|5
Haile_Selassie_I|2010-08-29|John_the_Baptist|2012-12-01|4
Haile_Selassie_I|2010-08-30|John_the_Baptist|2012-12-01|5
Léopold_Sédar_Senghor|2010-10-05|Galileo_Galilei|2012-10-23|6
Hassan_II_of_Morocco|2012-05-12|Jack_Kerouac|2012-12-26|5
Hassan_II_of_Morocco|2012-05-13|Jack_Kerouac|2012-12-26|6
Luís_Figo|2010-09-30|Aleister_Crowley|2012-12-31|6
Khalid_Sheikh_Mohammed|2012-09-15|Warren_G._Harding|2011-10-12|3
Khalid_Sheikh_Mohammed|2012-09-16|Warren_G._Harding|2011-10-12|4
Ehud_Olmert|2012-08-04|Isaac_Asimov|2012-12-27|6
Ehud_Olmert|2012-08-05|Isaac_Asimov|2012-12-27|3
Manuel_Noriega|2012-06-02|Barbra_Streisand|2012-10-04|3
Manuel_Noriega|2012-06-03|Barbra_Streisand|2012-10-04|4
Slavoj_Žižek|2011-01-15|Alfred_Hitchcock|2012-12-20|5
Slavoj_Žižek|2012-06-15|Alfred_Hitchcock|2012-12-20|5
Tom_Gehrels|2011-02-02|Isaac_Asimov|2012-12-27|6
Tom_Gehrels|2011-02-03|Isaac_Asimov|2012-12-27|3
Ivan_Ljubičić|2012-03-21|Arnold_Schwarzenegger|2012-06-03|3
Ivan_Ljubičić|2012-03-22|Arnold_Schwarzenegger|2012-06-03|4
Ivan_Ljubičić|2012-07-14|Arnold_Schwarzenegger|2012-06-03|6
Ivan_Ljubičić|2012-03-21|European_Economic_Community|2012-12-31|6
Ivan_Ljubičić|2012-03-22|European_Economic_Community|2012-12-31|3
Ivan_Ljubičić|2012-07-14|European_Economic_Community|2012-12-31|5
Dimitri_Tiomkin|2011-10-07|Aleister_Crowley|2012-12-31|5
Ho_Chi_Minh|2010-07-23|Nancy_Pelosi|2012-12-24|6
Ho_Chi_Minh|2010-10-31|Nancy_Pelosi|2012-12-24|6
Imelda_Marcos|2012-05-07|Michelangelo|2012-12-26|4
Imelda_Marcos|2012-05-08|Michelangelo|2012-12-26|5
Imelda_Marcos|2012-05-09|Michelangelo|2012-12-26|6
Humayun|2011-10-08|Henry_II_of_England|2012-09-21|5
Humayun|2011-10-09|Henry_II_of_England|2012-09-21|6
Bobby_Hull|2012-06-21|Fred_Astaire|2012-12-12|3
Bobby_Hull|2012-06-22|Fred_Astaire|2012-12-12|4
Chulalongkorn|2010-12-30|Cambodia|2012-12-30|4
Karol_Kučera|2012-02-11|Antonio_Vivaldi|2012-12-02|6
Yoko_Ono|2011-09-23|Leon_Trotsky|2012-12-10|6
Yoko_Ono|2011-09-23|Fred_Astaire|2012-12-12|4
Carl_Gustaf_Emil_Mannerheim|2011-12-12|Alfred_Hitchcock|2012-12-20|4
Garry_Kasparov|2011-10-18|Ralph_Waldo_Emerson|2012-12-28|5
Gil_Kane|2011-04-13|France|2012-05-08|3
Gil_Kane|2011-04-14|France|2012-05-08|4
Mariano_Rivera|2011-10-12|Hank_Williams|2012-12-22|5
Mariano_Rivera|2011-10-13|Hank_Williams|2012-12-22|6
Sammy_Sosa|2011-10-06|Nancy_Pelosi|2012-12-24|5
Sammy_Sosa|2011-10-07|Nancy_Pelosi|2012-12-24|6
Sammy_Sosa|2012-06-10|Nancy_Pelosi|2012-12-24|4
Sammy_Sosa|2012-06-11|Nancy_Pelosi|2012-12-24|5
Luiz_Inácio_Lula_da_Silva|2010-04-07|Nelson_Mandela|2012-11-24|5
Fernando_González|2011-09-26|Rumi|2012-11-29|6
Fernando_González|2011-09-27|Rumi|2012-11-29|3
Sammy_Sosa|2011-10-06|Hank_Williams|2012-12-22|3
Sammy_Sosa|2011-10-07|Hank_Williams|2012-12-22|4
Sammy_Sosa|2012-06-10|Hank_Williams|2012-12-22|6
Sammy_Sosa|2012-06-11|Hank_Williams|2012-12-22|3
Jan_Hus|2011-06-22|Romania|2012-05-08|5
Edgar_Prado|2011-12-19|Italy|2011-02-02|5
Edgar_Prado|2011-12-20|Italy|2011-02-02|6
Luiz_Inácio_Lula_da_Silva|2010-04-07|Michael_Jackson|2012-10-31|5
Sammy_Sosa|2011-10-06|Desiderius_Erasmus|2012-11-23|6
Sammy_Sosa|2011-10-07|Desiderius_Erasmus|2012-11-23|3
Sammy_Sosa|2012-06-10|Desiderius_Erasmus|2012-11-23|5
Sammy_Sosa|2012-06-11|Desiderius_Erasmus|2012-11-23|6
Garry_Kasparov|2011-10-18|Jane_Austen|2012-12-22|3
Garry_Kasparov|2011-10-18|14th_Dalai_Lama|2012-12-25|6
Karol_Kučera|2012-02-11|Elton_John|2012-12-01|5
Jawaharlal_Nehru|2011-04-20|Arthur_Wellesley,_1st_Duke_of_Wellington|2012-12-18|6
Fernando_González|2011-09-26|Sophocles|2012-12-30|5
Fernando_González|2011-09-27|Sophocles|2012-12-30|6
Luiz_Inácio_Lula_da_Silva|2010-04-07|Josip_Broz_Tito|2012-10-08|6
Alexander_Downer|2012-01-30|Moldavia|2012-12-29|5
Ehud_Olmert|2012-08-04|John_Wayne|2012-12-20|3
Ehud_Olmert|2012-08-05|John_Wayne|2012-12-20|4
Manuel_Noriega|2012-06-02|Thomas_Jefferson|2012-12-11|3
Manuel_Noriega|2012-06-03|Thomas_Jefferson|2012-12-11|4
Jan_Hus|2011-06-22|United_States|2012-06-03|3
Luís_Figo|2010-09-30|Catherine_the_Great|2011-10-12|5
Sammy_Sosa|2011-10-06|Rumi|2012-11-29|4
Sammy_Sosa|2011-10-07|Rumi|2012-11-29|5
Sammy_Sosa|2012-06-10|Rumi|2012-11-29|3
Sammy_Sosa|2012-06-11|Rumi|2012-11-29|4
Peter_Hain|2011-10-11|Michelangelo|2012-12-26|4
Peter_Hain|2011-10-12|Michelangelo|2012-12-26|5
Jan_Hus|2011-06-22|Rumi|2012-11-29|6
Paul_Capdeville|2010-11-22|United_States|2012-06-03|4
Rubén_Blades|2010-06-03|William_Blake|2011-10-12|6
Haile_Selassie_I|2010-08-29|Johnny_Cash|2012-12-31|6
Haile_Selassie_I|2010-08-30|Johnny_Cash|2012-12-31|3
Ivan_Ljubičić|2012-03-21|Turkey|2012-12-29|4
Ivan_Ljubičić|2012-03-22|Turkey|2012-12-29|5
Ivan_Ljubičić|2012-07-14|Turkey|2012-12-29|3
Sammy_Sosa|2011-10-06|Paul_Keres|2012-12-26|3
Sammy_Sosa|2011-10-07|Paul_Keres|2012-12-26|4
Sammy_Sosa|2012-06-10|Paul_Keres|2012-12-26|6
Sammy_Sosa|2012-06-11|Paul_Keres|2012-12-26|3
Peter_Hain|2011-10-11|Karol_Kučera|2012-10-26|3
Peter_Hain|2011-10-12|Karol_Kučera|2012-10-26|4
Karol_Kučera|2012-02-11|Malacca_Sultanate|2011-10-16|6
Rick_Springfield|2012-10-15|Michelangelo|2012-12-26|5
Luís_Figo|2010-09-30|Christopher_Columbus|2012-10-28|6
Edgar_Prado|2011-12-19|Imelda_Marcos|2012-08-24|5
Edgar_Prado|2011-12-20|Imelda_Marcos|2012-08-24|6
David_Hockney|2011-06-14|Thomas_Jefferson|2012-12-11|6
David_Hockney|2011-06-15|Thomas_Jefferson|2012-12-11|3
Luís_Figo|2010-09-30|Antonio_Vivaldi|2012-12-02|5
Luiz_Inácio_Lula_da_Silva|2010-04-07|Edward_III_of_England|2012-12-07|6
Bobby_Hull|2012-06-21|Bryan_Adams|2012-12-30|5
Bobby_Hull|2012-06-22|Bryan_Adams|2012-12-30|6
Sanath_Jayasuriya|2012-01-03|Lady_Gaga|2012-12-28|5
Sanath_Jayasuriya|2012-01-04|Lady_Gaga|2012-12-28|6
Vinicius_de_Moraes|2012-05-19|Abraham_Lincoln|2012-12-12|6
Vinicius_de_Moraes|2012-05-20|Abraham_Lincoln|2012-12-12|3
David_Hockney|2011-06-14|Garry_Kasparov|2012-11-03|4
David_Hockney|2011-06-15|Garry_Kasparov|2012-11-03|5
Robert_Fripp|2011-02-15|D._H._Lawrence|2011-10-12|6
Robert_Fripp|2011-02-16|D._H._Lawrence|2011-10-12|3
Freddie_Mercury|2011-01-04|Paul_Keres|2012-12-26|4
Freddie_Mercury|2011-01-05|Paul_Keres|2012-12-26|5
Humayun|2011-10-08|Fyodor_Dostoyevsky|2012-12-17|4
Humayun|2011-10-09|Fyodor_Dostoyevsky|2012-12-17|5
Garry_Kasparov|2011-10-18|Dominican_Republic|2012-12-29|6
Diosdado_Macapagal|2012-10-07|Lucille_Ball|2012-12-30|5
Diosdado_Macapagal|2012-10-08|Lucille_Ball|2012-12-30|6
Freddie_Mercury|2011-01-04|Benjamin_Disraeli|2012-12-30|4
Freddie_Mercury|2011-01-05|Benjamin_Disraeli|2012-12-30|5
Ivan_Ljubičić|2012-03-21|Niccolò_Machiavelli|2012-12-16|3
Ivan_Ljubičić|2012-03-22|Niccolò_Machiavelli|2012-12-16|4
Ivan_Ljubičić|2012-07-14|Niccolò_Machiavelli|2012-12-16|6
Toru_Takemitsu|2011-10-04|Thomas_Jefferson|2012-12-11|6
Toru_Takemitsu|2011-10-05|Thomas_Jefferson|2012-12-11|3
Rubén_Blades|2010-06-03|Elvis_Presley|2012-12-05|5
Vinicius_de_Moraes|2012-05-19|Thailand|2012-12-14|4
Vinicius_de_Moraes|2012-05-20|Thailand|2012-12-14|5
Garry_Kasparov|2011-10-18|Alfred_Hitchcock|2012-12-20|5
Genghis_Khan|2011-03-22|John_the_Baptist|2012-12-01|4
Genghis_Khan|2012-01-04|John_the_Baptist|2012-12-01|3
Genghis_Khan|2012-01-05|John_the_Baptist|2012-12-01|4
Ehud_Olmert|2012-08-04|Arthur_Wellesley,_1st_Duke_of_Wellington|2012-12-18|5
Ehud_Olmert|2012-08-05|Arthur_Wellesley,_1st_Duke_of_Wellington|2012-12-18|6
Marc_Gicquel|2010-12-02|Michael_Jackson|2012-10-31|4
Marc_Gicquel|2012-07-25|Michael_Jackson|2012-10-31|3
Marc_Gicquel|2012-07-26|Michael_Jackson|2012-10-31|4
Humayun|2011-10-08|Meryl_Streep|2012-12-23|6
Humayun|2011-10-09|Meryl_Streep|2012-12-23|3
Sonia_Gandhi|2010-09-14|Belize|2012-12-29|4
Sonia_Gandhi|2010-09-15|Belize|2012-12-29|5
Rubén_Blades|2010-06-03|Nelson_Mandela|2012-11-24|6
Francis_I_of_the_Two_Sicilies|2012-10-04|James_Taylor|2012-12-31|3
Khalid_Sheikh_Mohammed|2012-09-15|Mohammad_Reza_Pahlavi|2012-12-15|4
Khalid_Sheikh_Mohammed|2012-09-16|Mohammad_Reza_Pahlavi|2012-12-15|5
John_Rhys-Davies|2012-04-20|Sophocles|2012-12-30|3
John_Rhys-Davies|2012-04-21|Sophocles|2012-12-30|4
Garry_Kasparov|2011-10-18|Josip_Broz_Tito|2012-10-08|4
Diosdado_Macapagal|2012-10-07|Mauritius|2012-12-24|3
Diosdado_Macapagal|2012-10-08|Mauritius|2012-12-24|4
Joe_Strummer|2011-10-22|Lady_Gaga|2012-12-28|5
Joe_Strummer|2011-10-23|Lady_Gaga|2012-12-28|6
Enrique_Iglesias|2012-04-27|Mohammad_Reza_Pahlavi|2012-12-15|3
Enrique_Iglesias|2012-04-28|Mohammad_Reza_Pahlavi|2012-12-15|4
Dimitri_Tiomkin|2011-10-07|Slovenia|2012-12-22|4
Francis_I_of_the_Two_Sicilies|2012-10-04|Dominican_Republic|2012-12-29|5
Carl_Gustaf_Emil_Mannerheim|2011-12-12|Italy|2011-02-02|6
Muammar_Gaddafi|2011-10-15|Ralph_Waldo_Emerson|2012-12-28|6
Muammar_Gaddafi|2011-10-16|Ralph_Waldo_Emerson|2012-12-28|3
Bobby_Hull|2012-06-21|Romania|2012-05-08|5
Bobby_Hull|2012-06-22|Romania|2012-05-08|6
Khalid_Sheikh_Mohammed|2012-09-15|Abraham_Lincoln|2012-12-12|5
Khalid_Sheikh_Mohammed|2012-09-16|Abraham_Lincoln|2012-12-12|6
Rick_Springfield|2012-10-15|Katharine_Hepburn|2011-10-12|5
Paula_Abdul|2010-05-27|Sophocles|2012-12-30|3
Paradorn_Srichaphan|2012-02-20|Michelangelo|2012-12-26|3
Paradorn_Srichaphan|2012-02-21|Michelangelo|2012-12-26|4
Paradorn_Srichaphan|2012-02-22|Michelangelo|2012-12-26|5
Rick_Springfield|2012-10-15|Meryl_Streep|2012-12-23|6
Hassan_II_of_Morocco|2012-05-12|Lady_Gaga|2012-12-28|3
Hassan_II_of_Morocco|2012-05-13|Lady_Gaga|2012-12-28|4
Belisarius|2012-11-13|Isle_of_Man|2012-12-20|4
Belisarius|2012-11-14|Isle_of_Man|2012-12-20|5
Ehud_Olmert|2012-08-04|Irving_Berlin|2012-12-21|4
Ehud_Olmert|2012-08-05|Irving_Berlin|2012-12-21|5
Rubén_Blades|2010-06-03|Leon_Trotsky|2012-12-10|6
Luís_Figo|2010-09-30|Alfred_Hitchcock|2012-12-20|3
Peter_Hain|2011-10-11|Nicolas_Sarkozy|2012-12-26|4
Peter_Hain|2011-10-12|Nicolas_Sarkozy|2012-12-26|5
Fernando_González|2011-09-26|Michelangelo|2012-12-26|5
Fernando_González|2011-09-27|Michelangelo|2012-12-26|6
Luiz_Inácio_Lula_da_Silva|2010-04-07|Leonardo_da_Vinci|2012-05-08|5
